,status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_and_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,other_debtors_or_guarantors,property,age_in_years,other_installment_plans,housing,creditability
429,no checking account,9,existing credits paid back duly till now,furniture/equipment,1313,... < 100 DM,... >= 7 years,1,none,"car or other, not in attribute Savings account/bonds",20,none,own,0
430,... < 0 DM,18,critical account/ other credits existing (not at this bank),repairs,1190,... < 100 DM,unemployed,2,none,unknown / no property,55,none,for free,1
431,no checking account,5,existing credits paid back duly till now,business,3448,... < 100 DM,4 <= ... < 7 years,1,none,real estate,74,none,own,0
432,0 <= ... < 200 DM,24,existing credits paid back duly till now,others,11328,... < 100 DM,1 <= ... < 4 years,2,co-applicant,"car or other, not in attribute Savings account/bonds",29,bank,own,1
433,... < 0 DM,6,critical account/ other credits existing (not at this bank),furniture/equipment,1872,... < 100 DM,unemployed,4,none,unknown / no property,36,none,for free,0
434,no checking account,24,critical account/ other credits existing (not at this bank),repairs,2058,... < 100 DM,1 <= ... < 4 years,4,none,real estate,33,none,own,0
435,... < 0 DM,9,existing credits paid back duly till now,furniture/equipment,2136,... < 100 DM,1 <= ... < 4 years,3,none,real estate,25,none,own,0
436,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1484,unknown/ no savings account,1 <= ... < 4 years,2,none,real estate,25,none,own,1
437,no checking account,6,existing credits paid back duly till now,repairs,660,500 <= ... < 1000 DM,4 <= ... < 7 years,2,none,real estate,23,none,rent,0
438,no checking account,24,critical account/ other credits existing (not at this bank),car (new),1287,... >= 1000 DM,... >= 7 years,4,none,real estate,37,none,own,0
439,... < 0 DM,42,critical account/ other credits existing (not at this bank),repairs,3394,... < 100 DM,unemployed,4,co-applicant,"car or other, not in attribute Savings account/bonds",65,none,own,0
440,... >= 200 DM / salary assignments for at least 1 year,12,all credits at this bank paid back duly,business,609,... < 100 DM,... < 1 year,4,none,real estate,26,none,own,1
441,no checking account,12,existing credits paid back duly till now,car (new),1884,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",39,none,own,0
442,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1620,... < 100 DM,1 <= ... < 4 years,2,co-applicant,building society savings agreement/ life insurance,30,none,own,0
443,0 <= ... < 200 DM,20,delay in paying off in the past,others,2629,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",29,bank,own,0
444,no checking account,12,existing credits paid back duly till now,education,719,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",41,bank,own,1
445,0 <= ... < 200 DM,48,critical account/ other credits existing (not at this bank),furniture/equipment,5096,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",30,none,own,1
446,no checking account,9,critical account/ other credits existing (not at this bank),education,1244,unknown/ no savings account,... >= 7 years,4,none,building society savings agreement/ life insurance,41,none,rent,0
447,... < 0 DM,36,existing credits paid back duly till now,car (new),1842,... < 100 DM,... < 1 year,4,none,"car or other, not in attribute Savings account/bonds",34,none,own,1
448,0 <= ... < 200 DM,7,existing credits paid back duly till now,radio/television,2576,... < 100 DM,1 <= ... < 4 years,2,guarantor,real estate,35,none,own,0
449,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,1424,unknown/ no savings account,... >= 7 years,3,none,real estate,55,none,own,0
450,0 <= ... < 200 DM,15,delay in paying off in the past,repairs,1512,... >= 1000 DM,1 <= ... < 4 years,3,none,building society savings agreement/ life insurance,61,stores,own,1
451,no checking account,36,critical account/ other credits existing (not at this bank),car (used),11054,unknown/ no savings account,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",30,none,own,0
452,no checking account,6,existing credits paid back duly till now,radio/television,518,... < 100 DM,1 <= ... < 4 years,3,none,real estate,29,none,own,0
453,no checking account,12,no credits taken/ all credits paid back duly,furniture/equipment,2759,... < 100 DM,... >= 7 years,2,none,building society savings agreement/ life insurance,34,none,own,0
454,no checking account,24,existing credits paid back duly till now,car (used),2670,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",35,none,own,0
455,... < 0 DM,24,existing credits paid back duly till now,car (new),4817,... < 100 DM,4 <= ... < 7 years,2,co-applicant,building society savings agreement/ life insurance,31,none,own,1
456,no checking account,24,existing credits paid back duly till now,car (used),2679,... < 100 DM,... < 1 year,4,none,unknown / no property,29,none,own,0
457,... < 0 DM,11,critical account/ other credits existing (not at this bank),car (new),3905,... < 100 DM,1 <= ... < 4 years,2,none,real estate,36,none,rent,0
458,... < 0 DM,12,existing credits paid back duly till now,car (used),3386,... < 100 DM,... >= 7 years,3,none,unknown / no property,35,none,for free,1
459,... < 0 DM,6,existing credits paid back duly till now,domestic appliances,343,... < 100 DM,... < 1 year,4,none,real estate,27,none,own,0
460,no checking account,18,existing credits paid back duly till now,radio/television,4594,... < 100 DM,... < 1 year,3,none,"car or other, not in attribute Savings account/bonds",32,none,own,0
461,... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,3620,... < 100 DM,1 <= ... < 4 years,1,guarantor,building society savings agreement/ life insurance,37,none,own,0
462,... < 0 DM,15,existing credits paid back duly till now,car (new),1721,... < 100 DM,... < 1 year,2,none,real estate,36,none,own,0
463,0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,3017,... < 100 DM,... < 1 year,3,none,real estate,34,none,rent,0
464,0 <= ... < 200 DM,12,existing credits paid back duly till now,retraining,754,unknown/ no savings account,... >= 7 years,4,none,building society savings agreement/ life insurance,38,none,own,0
465,no checking account,18,existing credits paid back duly till now,business,1950,... < 100 DM,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",34,stores,own,0
466,... < 0 DM,24,existing credits paid back duly till now,car (used),2924,... < 100 DM,1 <= ... < 4 years,3,guarantor,unknown / no property,63,bank,own,0
467,... < 0 DM,24,delay in paying off in the past,radio/television,1659,... < 100 DM,... < 1 year,4,none,"car or other, not in attribute Savings account/bonds",29,none,rent,1
468,no checking account,48,delay in paying off in the past,radio/television,7238,unknown/ no savings account,... >= 7 years,3,none,"car or other, not in attribute Savings account/bonds",32,bank,own,0
469,no checking account,33,delay in paying off in the past,business,2764,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",26,none,own,0
470,no checking account,24,delay in paying off in the past,car (used),4679,... < 100 DM,4 <= ... < 7 years,3,none,"car or other, not in attribute Savings account/bonds",35,none,own,0
471,0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,3092,100 <= ... < 500 DM,... < 1 year,3,none,"car or other, not in attribute Savings account/bonds",22,none,rent,1
472,... < 0 DM,6,existing credits paid back duly till now,education,448,... < 100 DM,... < 1 year,4,none,building society savings agreement/ life insurance,23,none,own,1
473,... < 0 DM,9,existing credits paid back duly till now,car (new),654,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",28,none,own,1
474,no checking account,6,existing credits paid back duly till now,retraining,1238,unknown/ no savings account,unemployed,4,none,building society savings agreement/ life insurance,36,none,own,0
475,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),radio/television,1245,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",33,none,own,1
476,... < 0 DM,18,no credits taken/ all credits paid back duly,furniture/equipment,3114,... < 100 DM,... < 1 year,1,none,building society savings agreement/ life insurance,26,none,rent,1
477,no checking account,39,existing credits paid back duly till now,car (used),2569,500 <= ... < 1000 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",24,none,own,0
478,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,5152,... < 100 DM,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",25,bank,own,0
479,0 <= ... < 200 DM,12,existing credits paid back duly till now,business,1037,100 <= ... < 500 DM,4 <= ... < 7 years,3,none,real estate,39,none,own,0
480,... < 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,1478,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",44,none,own,0
481,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),radio/television,3573,... < 100 DM,1 <= ... < 4 years,1,none,real estate,23,none,own,0
482,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1201,... < 100 DM,... < 1 year,4,none,building society savings agreement/ life insurance,26,none,own,0
483,... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,3622,... >= 1000 DM,... >= 7 years,4,none,building society savings agreement/ life insurance,57,none,rent,0
484,no checking account,15,delay in paying off in the past,furniture/equipment,960,... >= 1000 DM,4 <= ... < 7 years,3,none,building society savings agreement/ life insurance,30,none,own,0
485,no checking account,12,critical account/ other credits existing (not at this bank),car (new),1163,500 <= ... < 1000 DM,1 <= ... < 4 years,4,none,real estate,44,none,own,0
486,0 <= ... < 200 DM,6,delay in paying off in the past,car (new),1209,... < 100 DM,unemployed,4,none,building society savings agreement/ life insurance,47,none,own,1
487,no checking account,12,existing credits paid back duly till now,radio/television,3077,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",52,none,own,0
488,no checking account,24,existing credits paid back duly till now,car (new),3757,... < 100 DM,... >= 7 years,4,co-applicant,unknown / no property,62,none,for free,0
489,no checking account,10,existing credits paid back duly till now,car (new),1418,100 <= ... < 500 DM,1 <= ... < 4 years,3,none,real estate,35,none,rent,0
490,no checking account,6,existing credits paid back duly till now,car (new),3518,... < 100 DM,1 <= ... < 4 years,2,guarantor,building society savings agreement/ life insurance,26,none,rent,0
491,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1934,... < 100 DM,... >= 7 years,2,none,unknown / no property,26,none,own,0
492,0 <= ... < 200 DM,27,no credits taken/ all credits paid back duly,business,8318,... < 100 DM,... >= 7 years,2,none,unknown / no property,42,none,for free,1
493,no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1237,100 <= ... < 500 DM,1 <= ... < 4 years,1,none,building society savings agreement/ life insurance,27,none,own,0
494,0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,368,unknown/ no savings account,... >= 7 years,4,none,building society savings agreement/ life insurance,38,none,own,0
495,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2122,... < 100 DM,1 <= ... < 4 years,3,none,real estate,39,none,rent,0
496,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,2996,unknown/ no savings account,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",20,none,own,1
